 tour |1049| nb agent |84
 tour |1050| nb agent |86
 tour |1051| nb agent |87
 tour |1052| nb agent |90
 tour |1053| nb agent |89
 tour |1054| nb agent |86
 tour |1055| nb agent |84
 tour |1056| nb agent |81
 tour |1057| nb agent |83
 tour |1058| nb agent |82
 tour |1059| nb agent |80
 tour |1060| nb agent |80
 tour |1061| nb agent |81
 tour |1062| nb agent |81
 tour |1063| nb agent |79
 tour |1064| nb agent |76
 tour |1065| nb agent |74
 tour |1066| nb agent |72
 tour |1067| nb agent |67
 tour |1068| nb agent |61
 tour |1069| nb agent |59
 tour |1070| nb agent |57
